GO	Genes
GO:0030976	Glyma.01G000248
GO:0008270	Glyma.01G000400
GO:0006355	Glyma.01G000400
GO:0008270	Glyma.01G000600
GO:0006355	Glyma.01G000600
GO:0051087	Glyma.01G001000
GO:0001671	Glyma.01G001000
GO:0016021	Glyma.01G001100
GO:0003824	Glyma.01G001300
GO:0003824	Glyma.01G001500
GO:0005515	Glyma.01G001600
GO:0032040	Glyma.01G001600
GO:0006364	Glyma.01G001600
GO:0005515	Glyma.01G001800
GO:0006468	Glyma.01G001800
GO:0005524	Glyma.01G001800
GO:0004672	Glyma.01G001800
GO:0006950	Glyma.01G001900
GO:0006468	Glyma.01G001900
GO:0005524	Glyma.01G001900
GO:0004672	Glyma.01G001900
GO:0006355	Glyma.01G002100
GO:0005634	Glyma.01G002100
GO:0003677	Glyma.01G002100
GO:0009725	Glyma.01G002100
GO:0005634	Glyma.01G002200
GO:0003677	Glyma.01G002200
GO:0008270	Glyma.01G002200
GO:0055085	Glyma.01G002300
GO:0008324	Glyma.01G002300
GO:0006812	Glyma.01G002300
GO:0016042	Glyma.01G002400
GO:0005509	Glyma.01G002400
GO:0004623	Glyma.01G002400
GO:0003824	Glyma.01G002600
GO:0045454	Glyma.01G002700
GO:0015035	Glyma.01G002700
GO:0006662	Glyma.01G002700
GO:0008168	Glyma.01G002902
GO:0008152	Glyma.01G002902
GO:0008168	Glyma.01G003800
GO:0006479	Glyma.01G003800
GO:0030170	Glyma.01G003900
GO:0009058	Glyma.01G003900
GO:0016042	Glyma.01G004000
GO:0005509	Glyma.01G004000
GO:0004623	Glyma.01G004000
GO:0008171	Glyma.01G004200
GO:0006412	Glyma.01G004300
GO:0005840	Glyma.01G004300
GO:0005622	Glyma.01G004300
GO:0003735	Glyma.01G004300
GO:0007034	Glyma.01G004500
GO:0005515	Glyma.01G004800
GO:0006468	Glyma.01G004800
GO:0004672	Glyma.01G004800
GO:0046872	Glyma.01G005000
GO:0055114	Glyma.01G005100
GO:0050113	Glyma.01G005100
GO:0019310	Glyma.01G005100
GO:0005737	Glyma.01G005100
GO:0005506	Glyma.01G005100
GO:0006749	Glyma.01G005200
GO:0003840	Glyma.01G005200
GO:0015031	Glyma.01G005300
GO:0008565	Glyma.01G005300
GO:0006096	Glyma.01G005400
