KEGG	Genes
ko00625	Glyma.01G116700
ko00830	Glyma.01G116700
ko00071	Glyma.01G116700
ko00620	Glyma.01G116700
ko00982	Glyma.01G116700
ko00980	Glyma.01G116700
ko00010	Glyma.01G116700
ko00350	Glyma.01G116700
ko00626	Glyma.01G116700
ko00625	Glyma.07G149400
ko00830	Glyma.07G149400
ko00071	Glyma.07G149400
ko00620	Glyma.07G149400
ko00982	Glyma.07G149400
ko00980	Glyma.07G149400
ko00010	Glyma.07G149400
ko00350	Glyma.07G149400
ko00626	Glyma.07G149400
ko00625	Glyma.18G200300
ko00830	Glyma.18G200300
ko00071	Glyma.18G200300
ko00620	Glyma.18G200300
ko00982	Glyma.18G200300
ko00980	Glyma.18G200300
ko00010	Glyma.18G200300
ko00350	Glyma.18G200300
ko00626	Glyma.18G200300
ko00625	Glyma.09G161600
ko00830	Glyma.09G161600
ko00071	Glyma.09G161600
ko00620	Glyma.09G161600
ko00982	Glyma.09G161600
ko00980	Glyma.09G161600
ko00010	Glyma.09G161600
ko00350	Glyma.09G161600
ko00626	Glyma.09G161600
ko00625	Glyma.01G116300
ko00830	Glyma.01G116300
ko00071	Glyma.01G116300
ko00620	Glyma.01G116300
ko00982	Glyma.01G116300
ko00980	Glyma.01G116300
ko00010	Glyma.01G116300
ko00350	Glyma.01G116300
ko00626	Glyma.01G116300
ko04011	Glyma.11G148900
ko00564	Glyma.11G148900
ko04011	Glyma.19G136100
ko00564	Glyma.19G136100
ko04011	Glyma.03G133800
ko00564	Glyma.03G133800
ko04011	Glyma.10G107100
ko00564	Glyma.10G107100
ko04011	Glyma.19G053500
ko00564	Glyma.19G053500
ko04011	Glyma.02G186600
ko00564	Glyma.02G186600
ko04011	Glyma.02G218700
ko00564	Glyma.02G218700
ko04011	Glyma.19G079400
ko00564	Glyma.19G079400
ko04011	Glyma.12G011200
ko00564	Glyma.12G011200
ko00051	Glyma.16G199200
ko00040	Glyma.16G199200
ko00051	Glyma.09G148100
ko00040	Glyma.09G148100
ko00051	Glyma.12G036700
ko00052	Glyma.12G036700
ko00561	Glyma.12G036700
ko00040	Glyma.12G036700
ko00790	Glyma.12G036700
ko00520	Glyma.19G028500
ko00541	Glyma.19G028500
ko00053	Glyma.19G028500
ko00040	Glyma.19G028500
ko00520	Glyma.18G265100
ko00541	Glyma.18G265100
ko00053	Glyma.18G265100
ko00040	Glyma.18G265100
ko00520	Glyma.05G022600
ko00541	Glyma.05G022600
ko00053	Glyma.05G022600
ko00040	Glyma.05G022600
ko00520	Glyma.08G243000
ko00541	Glyma.08G243000
ko00053	Glyma.08G243000
ko00040	Glyma.08G243000
ko00520	Glyma.02G115400
ko00541	Glyma.02G115400
ko00053	Glyma.02G115400
ko00040	Glyma.02G115400
ko00520	Glyma.17G077000
ko00541	Glyma.17G077000
