Genes	KOG
Glyma.07G199900	R
Glyma.07G199900	O
Glyma.13G176100	R
Glyma.13G176100	O
Glyma.20G141600	R
Glyma.20G141600	O
Glyma.13G138600	R
Glyma.13G138600	O
Glyma.19G256100	R
Glyma.19G256100	O
Glyma.17G042100	R
Glyma.17G042100	O
Glyma.10G251900	R
Glyma.10G251900	O
Glyma.01G226200	R
Glyma.01G226200	O
Glyma.17G106000	R
Glyma.17G106000	O
Glyma.07G055500	R
Glyma.07G055500	O
Glyma.10G051100	R
Glyma.10G051100	O
Glyma.18G059000	R
Glyma.18G059000	O
Glyma.13G176400	R
Glyma.13G176400	O
Glyma.13G117900	R
Glyma.13G117900	O
Glyma.13G117700	R
Glyma.13G117700	O
Glyma.16G024200	R
Glyma.16G024200	O
Glyma.17G042200	R
Glyma.17G042200	O
Glyma.13G153900	R
Glyma.13G153900	O
Glyma.17G008400	R
Glyma.17G008400	O
Glyma.03G257600	R
Glyma.03G257600	O
Glyma.U031417	R
Glyma.U031417	O
Glyma.06G064200	J
Glyma.04G063000	J
Glyma.09G094800	J
Glyma.06G064100	J
Glyma.15G202800	J
Glyma.07G055500	J
Glyma.16G024200	J
Glyma.04G231500	J
Glyma.06G133600	J
Glyma.03G197600	J
Glyma.19G195500	J
Glyma.01G029200	J
Glyma.18G005600	J
Glyma.15G129800	J
Glyma.09G023700	J
Glyma.11G251500	J
Glyma.02G036000	J
Glyma.18G059000	D
Glyma.17G042200	D
Glyma.19G256100	D
Glyma.15G259200	D
Glyma.15G259200	O
Glyma.08G168200	D
Glyma.08G168200	O
Glyma.07G265700	D
Glyma.07G265700	O
Glyma.16G024200	D
Glyma.17G106000	D
Glyma.07G265600	D
Glyma.07G265600	O
Glyma.17G008400	D
Glyma.13G176400	D
Glyma.07G199900	D
Glyma.20G141600	D
Glyma.07G055500	D
Glyma.13G176100	D
Glyma.03G257600	D
Glyma.09G007700	A
Glyma.17G079400	A
Glyma.15G173200	A
Glyma.12G151100	A
Glyma.20G126000	A
Glyma.10G264400	A
Glyma.17G142060	J
Glyma.17G142060	O
Glyma.01G209400	J
Glyma.01G209400	O
Glyma.11G032800	J
Glyma.11G032800	O
Glyma.05G059600	J
Glyma.05G059600	O
Glyma.02G041700	O
Glyma.02G041700	R
Glyma.01G159500	O
Glyma.01G159500	R
Glyma.11G084700	O
Glyma.11G084700	R
Glyma.16G118400	O
Glyma.16G118400	R
Glyma.01G081500	L
Glyma.13G371600	L
Glyma.08G262900	L
Glyma.08G223800	L
Glyma.20G114700	L
Glyma.18G297400	L
Glyma.07G002800	L
Glyma.10G275100	L
Glyma.18G072500	L
Glyma.08G337500	L
Glyma.10G085100	K
Glyma.18G224500	K
Glyma.13G034100	K
Glyma.07G080900	K
Glyma.08G310100	K
Glyma.08G034200	K
Glyma.04G027200	K
Glyma.20G136500	K
Glyma.15G058000	K
Glyma.18G042000	K
Glyma.02G185500	K
Glyma.10G085600	K
Glyma.07G228900	K
Glyma.08G065300	K
Glyma.06G324400	K
Glyma.14G168700	K
Glyma.08G034100	K
Glyma.10G085700	K
Glyma.02G179300	K
Glyma.07G045200	K
Glyma.10G084800	K
Glyma.02G121600	K
Glyma.20G136700	K
Glyma.18G224300	K
Glyma.02G041500	K
Glyma.16G200700	K
Glyma.08G065400	K
Glyma.07G081300	K
Glyma.05G227200	K
Glyma.09G266400	K
Glyma.10G085900	K
Glyma.20G001900	K
Glyma.18G273500	K
Glyma.13G223300	K
Glyma.10G083200	K
Glyma.06G205800	K
Glyma.05G148700	K
Glyma.07G045000	K
Glyma.01G064200	K
Glyma.17G081200	K
Glyma.10G240900	K
Glyma.14G183800	K
Glyma.17G101300	K
Glyma.18G105800	K
Glyma.20G136800	K
Glyma.18G273600	K
Glyma.02G287700	K
Glyma.11G160200	K
Glyma.15G196300	K
Glyma.15G059600	K
Glyma.19G034500	K
Glyma.05G148800	K
Glyma.17G080900	K
Glyma.08G269800	K
Glyma.13G255200	K
Glyma.11G073700	K
Glyma.03G203300	K
Glyma.08G105400	K
Glyma.03G080000	K
Glyma.11G158812	K
Glyma.10G086400	K
Glyma.08G068200	K
Glyma.09G201700	K
Glyma.13G052700	K
Glyma.18G053500	K
Glyma.17G132700	K
Glyma.14G027251	K
Glyma.11G252300	K
Glyma.05G050700	K
Glyma.15G088600	K
Glyma.01G064100	K
Glyma.20G034000	K
Glyma.09G266200	K
Glyma.20G136400	K
Glyma.10G084700	K
Glyma.08G105500	K
Glyma.02G121500	K
Glyma.04G245500	K
Glyma.11G214600	K
Glyma.08G250700	K
Glyma.14G155100	K
Glyma.05G227300	K
Glyma.05G018900	K
Glyma.09G283800	K
Glyma.12G005000	K
Glyma.02G216600	K
Glyma.04G159300	K
Glyma.09G231600	K
Glyma.09G149000	K
Glyma.13G256900	K
Glyma.16G091300	K
Glyma.05G025700	K
Glyma.10G240500	K
Glyma.20G154200	K
Glyma.19G051700	K
Glyma.19G047600	K
Glyma.04G257100	K
Glyma.06G027200	K
Glyma.05G163200	K
Glyma.13G257000	K
Glyma.03G019400	K
Glyma.18G004700	K
Glyma.08G120600	K
Glyma.08G250800	K
Glyma.13G052100	K
Glyma.17G014300	K
Glyma.07G181600	K
Glyma.20G153700	K
Glyma.01G169600	K
Glyma.18G053800	K
Glyma.01G023500	K
Glyma.18G052800	K
Glyma.05G018800	K
Glyma.06G095700	K
Glyma.03G083700	K
Glyma.13G086400	K
Glyma.19G034600	K
Glyma.03G019300	K
Glyma.10G254600	K
Glyma.18G053400	K
Glyma.13G045500	K
Glyma.01G020500	K
Glyma.10G142900	K
Glyma.11G186100	K
Glyma.06G117600	K
Glyma.10G254800	K
Glyma.10G254700	K
Glyma.05G140000	K
Glyma.08G021400	D
Glyma.12G022500	D
Glyma.19G237700	Q
Glyma.12G015100	Q
Glyma.12G015400	Q
Glyma.05G197400	Q
Glyma.14G042600	Q
Glyma.09G161600	Q
Glyma.14G121200	Q
Glyma.08G276100	Q
Glyma.12G015300	Q
Glyma.08G004800	Q
Glyma.10G262400	Q
Glyma.09G201200	Q
Glyma.16G096300	Q
Glyma.14G221200	Q
Glyma.15G059500	Q
Glyma.20G128600	Q
Glyma.18G177000	Q
Glyma.13G255300	Q
Glyma.08G145900	Q
Glyma.17G260100	Q
Glyma.05G187700	Q
Glyma.16G199200	Q
Glyma.09G148100	Q
Glyma.13G330100	C
Glyma.13G330100	K
Glyma.07G175000	E
Glyma.16G058800	E
Glyma.13G035100	T
Glyma.10G030500	T
Glyma.14G040600	T
Glyma.12G227800	T
Glyma.07G101100	T
Glyma.14G113600	T
Glyma.02G133000	T
Glyma.04G144800	T
Glyma.13G083700	T
Glyma.12G052100	T
Glyma.01G211700	T
Glyma.20G224300	T
Glyma.05G238400	T
Glyma.08G053500	T
Glyma.07G010800	T
Glyma.16G095700	T
Glyma.02G245700	T
Glyma.13G272100	T
Glyma.01G094000	T
Glyma.01G049500	T
Glyma.19G132800	T
Glyma.11G056500	T
Glyma.19G068300	T
Glyma.01G144300	T
Glyma.17G128900	T
Glyma.06G208800	T
Glyma.20G211700	T
Glyma.05G015500	T
Glyma.12G089800	T
Glyma.06G034700	T
Glyma.20G048900	T
Glyma.20G175200	T
Glyma.10G178400	T
Glyma.05G047100	T
Glyma.19G129800	T
Glyma.11G127500	T
Glyma.16G142500	T
Glyma.08G019667	T
Glyma.13G272300	T
Glyma.04G194800	T
Glyma.03G127000	T
Glyma.16G059300	T
Glyma.03G004100	T
Glyma.03G157800	T
Glyma.05G085200	T
Glyma.11G157100	T
Glyma.13G344200	T
Glyma.18G177900	T
Glyma.04G136600	T
Glyma.17G034900	T
Glyma.19G121900	T
Glyma.19G244300	T
Glyma.11G030100	T
Glyma.04G136300	T
Glyma.08G340400	T
Glyma.17G112000	T
Glyma.10G161900	T
Glyma.19G160100	T
Glyma.01G185600	T
Glyma.13G074800	T
Glyma.06G066000	T
Glyma.02G059600	T
Glyma.18G039500	T
Glyma.11G182700	T
Glyma.18G221300	T
Glyma.04G078400	T
Glyma.07G169100	T
Glyma.03G022800	T
Glyma.15G030100	T
Glyma.02G002100	T
Glyma.14G156300	T
Glyma.07G212000	T
Glyma.04G136200	T
