KOG	Genes
KOG1187	Glyma.01G001800
KOG1187	Glyma.01G001900
KOG2645	Glyma.01G002600
KOG0907	Glyma.01G002700
KOG3142	Glyma.01G002800
KOG2931	Glyma.01G003500
KOG1499	Glyma.01G003800
KOG2027	Glyma.01G004100
KOG1663	Glyma.01G004200
KOG0893	Glyma.01G004300
KOG1656	Glyma.01G004500
KOG3433	Glyma.01G004700
KOG1187	Glyma.01G004800
KOG0048	Glyma.01G004900
KOG1595	Glyma.01G005000
KOG1573	Glyma.01G005100
KOG0934	Glyma.01G005300
KOG1755	Glyma.01G005900
KOG1187	Glyma.01G007400
KOG1187	Glyma.01G007500
KOG1652	Glyma.01G007700
KOG2547	Glyma.01G007900
KOG4747	Glyma.01G008300
KOG0143	Glyma.01G008400
KOG0988	Glyma.01G008700
KOG4708	Glyma.01G008800
KOG4677	Glyma.01G008900
KOG4203	Glyma.01G010200
KOG3088	Glyma.01G010300
KOG4658	Glyma.01G010500
KOG4658	Glyma.01G010700
KOG2908	Glyma.01G011100
KOG0082	Glyma.01G011200
KOG4068	Glyma.01G011400
KOG4658	Glyma.01G012000
KOG2088	Glyma.01G012100
KOG3381	Glyma.01G012300
KOG1793	Glyma.01G012500
KOG4658	Glyma.01G013100
KOG2088	Glyma.01G013200
KOG1187	Glyma.01G013500
KOG1552	Glyma.01G014100
KOG4288	Glyma.01G014400
KOG0811	Glyma.01G015600
KOG0581	Glyma.01G015800
KOG0627	Glyma.01G015900
KOG3339	Glyma.01G016400
KOG0048	Glyma.01G016600
KOG3140	Glyma.01G016800
KOG0131	Glyma.01G016900
KOG1502	Glyma.01G017100
KOG0106	Glyma.01G017400
KOG0146	Glyma.01G017400
KOG0110	Glyma.01G017400
KOG0131	Glyma.01G017400
KOG0144	Glyma.01G017400
KOG4450	Glyma.01G017900
KOG1865	Glyma.01G018300
KOG0758	Glyma.01G019000
KOG0061	Glyma.01G020000
KOG1187	Glyma.01G020100
KOG0014	Glyma.01G020500
KOG2190	Glyma.01G021400
KOG1192	Glyma.01G021700
KOG1192	Glyma.01G021900
KOG1756	Glyma.01G022100
KOG1187	Glyma.01G022400
KOG1187	Glyma.01G022600
KOG2406	Glyma.01G022800
KOG0014	Glyma.01G023500
KOG0239	Glyma.01G023600
KOG1865	Glyma.01G023900
KOG0759	Glyma.01G024000
KOG0656	Glyma.01G024700
KOG2440	Glyma.01G024800
KOG1347	Glyma.01G025200
KOG0143	Glyma.01G025500
KOG0617	Glyma.01G025600
KOG1742	Glyma.01G026100
KOG1347	Glyma.01G026200
KOG0257	Glyma.01G026700
KOG1448	Glyma.01G026800
KOG1187	Glyma.01G027100
KOG0937	Glyma.01G027300
KOG1187	Glyma.01G028100
KOG1540	Glyma.01G028200
KOG0773	Glyma.01G028300
KOG1187	Glyma.01G028700
KOG0580	Glyma.01G028700
KOG0090	Glyma.01G029000
KOG0004	Glyma.01G029200
KOG0381	Glyma.01G029300
KOG3497	Glyma.01G029400
KOG1100	Glyma.01G029500
KOG0070	Glyma.01G029800
KOG1187	Glyma.01G030200
KOG1578	Glyma.01G030500
KOG2253	Glyma.01G031400
KOG1562	Glyma.01G031700
KOG1493	Glyma.01G032200
KOG4658	Glyma.01G033300
KOG1187	Glyma.01G034100
KOG0873	Glyma.01G035100
KOG4658	Glyma.01G035400
KOG0656	Glyma.01G035600
KOG1192	Glyma.01G036000
KOG4308	Glyma.01G036200
KOG0713	Glyma.01G036500
KOG0271	Glyma.01G036800
KOG0645	Glyma.01G036800
KOG0266	Glyma.01G036800
KOG4204	Glyma.01G038300
KOG4658	Glyma.01G039000
KOG0472	Glyma.01G039600
KOG2215	Glyma.01G039700
KOG2287	Glyma.01G039800
KOG0406	Glyma.01G040000
KOG0406	Glyma.01G040200
KOG2610	Glyma.01G040300
KOG0712	Glyma.01G040600
KOG0907	Glyma.01G040700
KOG0907	Glyma.01G041100
KOG0907	Glyma.01G041200
KOG1427	Glyma.01G041600
KOG0483	Glyma.01G041700
KOG1187	Glyma.01G042400
KOG2620	Glyma.01G042600
KOG1598	Glyma.01G042900
KOG1764	Glyma.01G043400
KOG0419	Glyma.01G043600
KOG1187	Glyma.01G043700
KOG1187	Glyma.01G044100
KOG1581	Glyma.01G044200
KOG0048	Glyma.01G044300
