ko	Genes
K01853	Glyma.01G001300
K01853	Glyma.01G001500
K14554	Glyma.01G001600
K01047	Glyma.01G002400
K11434	Glyma.01G003800
K01762	Glyma.01G003900
K00588	Glyma.01G004200
K02910	Glyma.01G004300
K12194	Glyma.01G004500
K09422	Glyma.01G004900
K00469	Glyma.01G005100
K18592	Glyma.01G005200
K12403	Glyma.01G005300
K00850	Glyma.01G005400
K05759	Glyma.01G005900
K01887	Glyma.01G006100
K01887	Glyma.01G006400
K03021	Glyma.01G006500
K08333	Glyma.01G006600
K01301	Glyma.01G006700
K01051	Glyma.01G006800
K03327	Glyma.01G007100
K00844	Glyma.01G007200
K00844	Glyma.01G007300
K17795	Glyma.01G007700
K00558	Glyma.01G007800
K05658	Glyma.01G008200
K14490	Glyma.01G008300
K00029	Glyma.01G008500
K06063	Glyma.01G008600
K11699	Glyma.01G008700
K02990	Glyma.01G008800
K07151	Glyma.01G009300
K01904	Glyma.01G010000
K00855	Glyma.01G010200
K14811	Glyma.01G010400
K13457	Glyma.01G010500
K13457	Glyma.01G010700
K03039	Glyma.01G011100
K12189	Glyma.01G011400
K17498	Glyma.01G012500
K09060	Glyma.01G013600
K08235	Glyma.01G013900
K00630	Glyma.01G014200
K08488	Glyma.01G015600
K04368	Glyma.01G015800
K09419	Glyma.01G015900
K17964	Glyma.01G016100
K07441	Glyma.01G016400
K05658	Glyma.01G016500
K09422	Glyma.01G016600
K14837	Glyma.01G016900
K11855	Glyma.01G018300
K14496	Glyma.01G018800
K15109	Glyma.01G019000
K01610	Glyma.01G019200
K14484	Glyma.01G019400
K05752	Glyma.01G020200
K01414	Glyma.01G020300
K18195	Glyma.01G020800
K00083	Glyma.01G020900
K00083	Glyma.01G021000
K10406	Glyma.01G021200
K13162	Glyma.01G021400
K11251	Glyma.01G022100
K09285	Glyma.01G022500
K14611	Glyma.01G022700
K05310	Glyma.01G023700
K15104	Glyma.01G024000
K18810	Glyma.01G024700
K00850	Glyma.01G024800
K03327	Glyma.01G025200
K02900	Glyma.01G026100
K03327	Glyma.01G026200
K14272	Glyma.01G026700
K12393	Glyma.01G027300
